Alicante;Amsterdam;10500;28,99
Alicante;Kaunas;1200;12,65
Amsterdam;Alicante;10500;30,99
Alicante;Bari;8400;133,99
Bari;Alicante;8400;130,99
Alicante;Belfast;11400;99,99
Belfast;Alicante;11400;102,99
Alicante;Birmingham;9900;58,99
Birmingham;Alicante;9900;61,99
Alicante;Bordeaux;5700;70,99
Bordeaux;Alicante;5700;68,99
Alicante;Bremen;10800;314,21
Bremen;Alicante;10800;311,21
Alicante;Bristol;9000;130,99
Bristol;Alicante;9000;128,99
Alicante;Brussels;9000;54,74
Brussels;Alicante;9000;52,74
Alicante;Bucharest;12780;129,99
Bucharest;Alicante;12780;131,99
Alicante;Budapest;10920;64,99
Budapest;Alicante;10920;62,99
Alicante;Cluj-napoca;12240;144,99
Cluj-napoca;Alicante;12240;147,99